,,917,
-2,,915,
-1,,914,
0,,914,
1,,915,
0,,915,
-2,,913,
-1,,912,
-1,,911,
-2,,909,
0,,909,
0,,909,
3,,912,
0,,912,
-1,,911,
0,,911,
-1,,910,
0,,910,
1,,911,
0,,911,
-1,,910,
-1,,909,
0,,909,
1,,910,
1,,911,
0,,911,
-1,,910,
0,,910,
0,,910,
0,,910,
-1,,909,
-1,,908,
-1,,907,
0,,907,
-2,,905,
-1,,904,
0,,904,
1,,905,
1,,906,
0,,906,
1,,907,
0,,907,
-1,,906,
0,,906,
2,,908,
0,,908,
1,,909,
0,,909,
-1,,908,
-1,,907,
0,,907,
1,,908,
2,,910,
0,,910,
-1,,909,
0,,909,
0,,909,
-1,,908,
0,,908,
0,,908,
2,,910,
0,,910,
2,,912,
1,,913,
1,,914,
0,,914,
1,,915,
0,,915,
0,,915,
-1,,914,
0,,914,
2,,916,
0,,916,
1,,917,
0,,917,
-2,,915,
-1,,914,
-1,,913,
-2,,911,
-1,,910,
-2,,908,
0,,908,
0,,908,
0,,908,
1,,909,
1,,910,
1,,911,
0,,911,
1,,912,
0,,912,
1,,913,
0,,913,
0,,913,
1,,914,
0,,914,
-1,,913,
-1,,912,
0,,912,
1,,913,
0,,913,
1,,914,
0,,914,
-1,,913,
0,,913,
0,,913,
1,,914,
1,,915,
2,,917,
2,,919,
0,,919,
0,,919,
1,,920,
1,,921,
0,,921,
-1,,920,
0,,920,
1,,921,
0,,921,
-1,,920,
-1,,919,
-1,,918,
-1,,917,
0,,917,
-1,,916,
0,,916,
1,,917,
0,,917,
-1,,916,
0,,916,
-2,,914,
-1,,913,
-1,,912,
-1,,911,
0,,911,
2,,913,
0,,913,
0,,913,
2,,915,
1,,916,
0,,916,
-1,,915,
0,,915,
1,,916,
1,,917,
0,,917,
-1,,916,
0,,916,
-2,,914,
0,,914,
0,,914,
0,,914,
0,,914,
-2,,912,
0,,912,
0,,912,
-1,,911,
-1,,910,
0,,910,
1,,911,
0,,911,
-1,,910,
0,,910,
2,,912,
1,,913,
1,,914,
1,,915,
2,,917,
1,,918,
0,,918,
2,,920,
0,,920,
0,,920,
0,,920,
0,,920,
3,,923,
0,,923,
0,,923,
3,,926,
3,,929,
1,,930,
0,,930,
-1,,929,
0,,929,
2,,931,
0,,931,
-2,,929,
-1,,928,
-2,,926,
0,,926,
1,,927,
0,,927,
1,,928,
0,,928,
-2,,926,
-2,,924,
-1,,923,
-1,,922,
0,,922,
-1,,921,
0,,921,
2,,923,
0,,923,
0,,923,
2,,925,
1,,926,
2,,928,
0,,928,
-1,,927,
0,,927,
0,,927,
-1,,926,
0,,926,
2,,928,
2,,930,
0,,930,
-1,,929,
0,,929,
0,,929,
-1,,928,
0,,928,
2,,930,
0,,930,
-1,,929,
-1,,928,
-1,,927,
-1,,926,
0,,926,
-2,,924,
-2,,922,
-1,,921,
0,,921,
0,,921,
-2,,919,
-1,,918,
-2,,916,
-2,,914,
-2,,912,
-1,,911,
-1,,910,
-2,,908,
0,,908,
-1,,907,
-1,,906,
0,,906,
1,,907,
0,,907,
1,,908,
0,,908,
2,,910,
1,,911,
1,,912,
0,,912,
-1,,911,
0,,911,
0,,911,
1,,912,
1,,913,
1,,914,
1,,915,
1,,916,
1,,917,
1,,918,
0,,918,
-1,,917,
0,,917,
1,,918,
